Experiment File Name,Well,Sample Name,Target Name,Ct
ABI7500ExperimentName_,D7,Sample,RSV,Undetermined
ABI7500ExperimentName_,D8,Sample,C19,Undetermined
ABI7500ExperimentName_,D8,Sample,FluAB,Undetermined
ABI7500ExperimentName_,D8,Sample,MS2,24.60578728
ABI7500ExperimentName_,D8,Sample,RSV,Undetermined
ABI7500ExperimentName_,D9,Sample,C19,Undetermined
ABI7500ExperimentName_,D9,Sample,FluAB,Undetermined
ABI7500ExperimentName_,D9,Sample,MS2,25.11030388
ABI7500ExperimentName_,D9,Sample,RSV,Undetermined
ABI7500ExperimentName_,D10,Sample,C19,Undetermined
ABI7500ExperimentName_,D10,Sample,FluAB,Undetermined
ABI7500ExperimentName_,D10,Sample,MS2,22.65922737
ABI7500ExperimentName_,D10,Sample,RSV,Undetermined
ABI7500ExperimentName_,D11,Sample,C19,
ABI7500ExperimentName_,D11,Sample,FluAB,
ABI7500ExperimentName_,D11,Sample,MS2,
ABI7500ExperimentName_,D11,Sample,RSV,
ABI7500ExperimentName_,D12,Sample,C19,35.74246979
ABI7500ExperimentName_,D12,Sample,FluAB,33.88683319
ABI7500ExperimentName_,D12,Sample,MS2,Undetermined
ABI7500ExperimentName_,D12,Sample,RSV,37.40779114
ABI7500ExperimentName_,E1,Sample,C19,Undetermined
ABI7500ExperimentName_,E1,Sample,FluAB,Undetermined
ABI7500ExperimentName_,E1,Sample,MS2,24.82122231
ABI7500ExperimentName_,E1,Sample,RSV,Undetermined
ABI7500ExperimentName_,E2,Sample,C19,Undetermined
ABI7500ExperimentName_,E2,Sample,FluAB,Undetermined
ABI7500ExperimentName_,E2,Sample,MS2,24.07404518
ABI7500ExperimentName_,E2,Sample,RSV,Undetermined
ABI7500ExperimentName_,E3,Sample,C19,Undetermined
ABI7500ExperimentName_,E3,Sample,FluAB,Undetermined
ABI7500ExperimentName_,E3,Sample,MS2,24.00373459
ABI7500ExperimentName_,E3,Sample,RSV,Undetermined
ABI7500ExperimentName_,E4,Sample,C19,Undetermined
ABI7500ExperimentName_,E4,Sample,FluAB,Undetermined
ABI7500ExperimentName_,E4,Sample,MS2,23.24796677
ABI7500ExperimentName_,E4,Sample,RSV,Undetermined
ABI7500ExperimentName_,E5,Sample,C19,Undetermined
ABI7500ExperimentName_,E5,Sample,FluAB,Undetermined
ABI7500ExperimentName_,E5,Sample,MS2,24.09203148
ABI7500ExperimentName_,E5,Sample,RSV,Undetermined
ABI7500ExperimentName_,E6,Sample,C19,Undetermined
ABI7500ExperimentName_,E6,Sample,FluAB,Undetermined
ABI7500ExperimentName_,E6,Sample,MS2,23.80584145
ABI7500ExperimentName_,E6,Sample,RSV,Undetermined
